source_row,record_date,voyage_id,recipient_username,revenue_florins,salary_florins,catch_summary
922,2023-09-09,476,stoomboo,15612,13241,"16 Pistol Shrimp at 1x, 16 Pistol Shrimp at 1x, 16 Pistol Shrimp at 1x, 11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x."
923,2023-09-09,476,thecoolguyisco,15669,13292,"15 Pistol Shrimp at 1x, 15 Pistol Shrimp at 1x, 15 Pistol Shrimp at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x."
924,2023-09-09,478,stoomboo,14559,12293,"13 Pistol Shrimp at 1x, 13 Pistol Shrimp at 1x, 13 Pistol Shrimp at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x."
925,2023-09-09,478,thecoolguyisco,13221,11089,"8 Common Blue Crab at 1x, 8 Common Blue Crab at 1x, 8 Common Blue Crab at 1x, 15 Pistol Shrimp at 1x, 15 Pistol Shrimp at 1x, 15 Pistol Shrimp at 1x."
926,2023-09-09,480,stoomboo,14688,12409,"12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x."
927,2023-09-09,480,thecoolguyisco,16680,14202,"16 Mantis Shrimp at 1x, 16 Mantis Shrimp at 1x, 16 Mantis Shrimp at 1x, 10 Common Blue Crab at 1x, 10 Common Blue Crab at 1x, 10 Common Blue Crab at 1x."
928,2023-09-09,481,stoomboo,18012,15401,"11 Giant Hermit Crab at 1x, 11 Giant Hermit Crab at 1x, 11 Giant Hermit Crab at 1x, 12 Pistol Shrimp at 1x, 12 Pistol Shrimp at 1x, 12 Pistol Shrimp at 1x."
929,2023-09-09,481,thecoolguyisco,22905,19805,"15 American Lobster at 1x, 15 American Lobster at 1x, 15 American Lobster at 1x, 15 Pistol Shrimp at 1x, 15 Pistol Shrimp at 1x, 15 Pistol Shrimp at 1x."
930,2023-09-09,479,JamesBond007F,16440,13986,"10 Common Blue Crab at 1x, 10 Common Blue Crab at 1x, 10 Common Blue Crab at 1x, 10 Giant Hermit Crab at 1x, 10 Giant Hermit Crab at 1x, 10 Giant Hermit Crab at 1x."
931,2023-09-09,479,SpedSantz,16224,13792,"12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 16 Pistol Shrimp at 1x, 16 Pistol Shrimp at 1x, 16 Pistol Shrimp at 1x."
932,2023-09-09,483,stoomboo,19677,16899,"15 Pistol Shrimp at 1x, 15 Pistol Shrimp at 1x, 15 Pistol Shrimp at 1x, 11 Giant Hermit Crab at 1x, 11 Giant Hermit Crab at 1x, 11 Giant Hermit Crab at 1x."
933,2023-09-09,483,thecoolguyisco,13476,11318,"13 Mantis Shrimp at 1x, 13 Mantis Shrimp at 1x, 13 Mantis Shrimp at 1x, 8 Common Blue Crab at 1x, 8 Common Blue Crab at 1x, 8 Common Blue Crab at 1x."
934,2023-09-09,482,JamesBond007F,10730,9117,"15 Pistol Shrimp at 1x, 15 Pistol Shrimp at 1x, 15 Pistol Shrimp at 1x, 13 Pistol Shrimp at 1x."
935,2023-09-09,482,SpedSantz,10314,8743,"13 Pistol Shrimp at 1x, 13 Pistol Shrimp at 1x, 8 Giant Hermit Crab at 1x, 8 Giant Hermit Crab at 1x."
936,2023-09-09,485,JamesBond007F,18948,16243,"11 American Lobster at 1x, 11 American Lobster at 1x, 11 American Lobster at 1x, 8 Giant Hermit Crab at 1x, 8 Giant Hermit Crab at 1x, 8 Giant Hermit Crab at 1x."
937,2023-09-09,485,SpedSantz,12240,10206,"11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x, 9 Common Blue Crab at 1x, 9 Common Blue Crab at 1x, 9 Common Blue Crab at 1x."
938,2023-09-09,487,eprstbebra,13942,12008,"11 Giant Hermit Crab at 1x, 11 Giant Hermit Crab at 1x, 11 Giant Hermit Crab at 1x, 14 Pistol Shrimp at 1x."
939,2023-09-09,487,Jacolai5814,11100,9450,"14 Pistol Shrimp at 1x, 14 Pistol Shrimp at 1x, 16 Pistol Shrimp at 1x, 16 Pistol Shrimp at 1x."
940,2023-09-09,487,lukas06yt,12860,11034,"16 Pistol Shrimp at 1x, 15 Mantis Shrimp at 1x, 15 Mantis Shrimp at 1x, 15 Mantis Shrimp at 1x."
941,2023-09-09,488,eprstbebra,9180,7722,"12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 9 Common Blue Crab at 1x."
942,2023-09-09,488,stoomboo,13716,11804,"18 Mantis Shrimp at 1x, 18 Mantis Shrimp at 1x, 18 Mantis Shrimp at 1x, 9 Common Blue Crab at 1x."
943,2023-09-09,488,lukas06yt,9756,8240,"12 Mantis Shrimp at 1x, 12 Mantis Shrimp at 1x, 12 Mantis Shrimp at 1x, 9 Common Blue Crab at 1x."
944,2023-09-09,486,boosta_z,17015,14639,"10 Giant Hermit Crab at 1,25x, 10 Giant Hermit Crab at 1,25x, 11 Common Blue Crab at 1,25x, 11 Common Blue Crab at 1,25x, 11 Common Blue Crab at 1,25x."
945,2023-09-09,486,Tojeko_G,16065,13649,"11 Common Blue Crab at 1,25x, 11 Common Blue Crab at 1,25x, 11 Common Blue Crab at 1,25x, 10 Common Blue Crab at 1,25x, 10 Common Blue Crab at 1,25x, 10 Common Blue Crab at 1,25x."
946,2023-09-09,489,MMMOMOOOO,20625,17753,"13 Mantis Shrimp at 1,25x, 13 Mantis Shrimp at 1,25x, 13 Mantis Shrimp at 1,25x, 12 Mantis Shrimp at 1,25x, 12 Mantis Shrimp at 1,25x, 12 Mantis Shrimp at 1,25x."
947,2023-09-09,489,thecoolguyisco,24495,21236,"8 Giant Hermit Crab at 1,25x, 8 Giant Hermit Crab at 1,25x, 8 Giant Hermit Crab at 1,25x, 13 American Lobster at 1,25x, 13 American Lobster at 1,25x, 9 American Lobster at 1,25x."
948,2023-09-09,490,eprstbebra,9877,8349,"11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x, 17 Pistol Shrimp at 1x."
949,2023-09-09,490,stoomboo,9877,8349,"11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x, 17 Pistol Shrimp at 1x."
950,2023-09-09,490,lukas06yt,12433,10650,"9 Giant Hermit Crab at 1x, 9 Giant Hermit Crab at 1x, 9 Giant Hermit Crab at 1x, 17 Pistol Shrimp at 1x."
951,2023-09-09,491,boosta_z,16065,13649,"9 Common Blue Crab at 1,25x, 9 Common Blue Crab at 1,25x, 9 Common Blue Crab at 1,25x, 12 Common Blue Crab at 1,25x, 12 Common Blue Crab at 1,25x, 12 Common Blue Crab at 1,25x."
952,2023-09-09,491,Tojeko_G,15975,13568,"12 Pistol Shrimp at 1,25x, 12 Pistol Shrimp at 1,25x, 12 Pistol Shrimp at 1,25x, 10 Common Blue Crab at 1,25x, 10 Common Blue Crab at 1,25x, 10 Common Blue Crab at 1,25x."
953,2023-09-09,492,stoomboo,10172,8615,"11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x, 10 Giant Hermit Crab at 1x."
954,2023-09-09,492,eprstbebra,10100,8550,"12 Pistol Shrimp at 1x, 12 Pistol Shrimp at 1x, 12 Pistol Shrimp at 1x, 10 Giant Hermit Crab at 1x."
955,2023-09-09,492,lukas06yt,9560,8064,"10 Giant Hermit Crab at 1x, 10 Common Blue Crab at 1x, 10 Common Blue Crab at 1x, 10 Common Blue Crab at 1x."
956,2023-09-09,494,eprstbebra,23820,20628,"14 Mantis Shrimp at 1x, 14 Mantis Shrimp at 1x, 14 Mantis Shrimp at 1x, 15 American Lobster at 1x, 15 American Lobster at 1x, 15 American Lobster at 1x."
957,2023-09-09,494,stoomboo,14688,12409,"12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x."
958,2023-09-09,493,boosta_z,16440,13986,"8 Common Blue Crab at 1,25x, 8 Common Blue Crab at 1,25x, 8 Common Blue Crab at 1,25x, 8 Giant Hermit Crab at 1,25x, 8 Giant Hermit Crab at 1,25x, 8 Giant Hermit Crab at 1,25x."
959,2023-09-09,493,Tojeko_G,27274,23736,"12 Giant Hermit Crab at 1,25x, 12 Giant Hermit Crab at 1,25x, 12 Giant Hermit Crab at 1,25x, 17 Pistol Shrimp at 1,25x, 17 Pistol Shrimp at 1,25x, 17 Pistol Shrimp at 1,25x."
960,2023-09-09,495,eprstbebra,10476,8888,"8 Giant Hermit Crab at 1x, 8 Giant Hermit Crab at 1x, 8 Giant Hermit Crab at 1x, 12 Pistol Shrimp at 1x."
961,2023-09-09,495,stoomboo,11655,9950,"17 Pistol Shrimp at 1x, 17 Pistol Shrimp at 1x, 17 Pistol Shrimp at 1x, 12 Pistol Shrimp at 1x."
962,2023-09-09,495,rzeczka114,9564,8068,"12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Pistol Shrimp at 1x."
963,2023-09-09,499,ErikBernadotte,12515,10724,"17 Pistol Shrimp at 1x, 17 Pistol Shrimp at 1x, 17 Pistol Shrimp at 1x, 14 Mantis Shrimp at 1x."
964,2023-09-09,499,eprstbebra,12368,10591,"9 Giant Hermit Crab at 1x, 9 Giant Hermit Crab at 1x, 9 Giant Hermit Crab at 1x, 14 Mantis Shrimp at 1x."
965,2023-09-09,499,551sweden,7976,6638,"8 Common Blue Crab at 1x, 8 Common Blue Crab at 1x, 8 Common Blue Crab at 1x, 14 Mantis Shrimp at 1x."
966,2023-09-09,501,eprstbebra,6936,5702,"8 Common Blue Crab at 1x, 8 Common Blue Crab at 1x, 8 Common Blue Crab at 1x, 10 Common Blue Crab at 1x."
967,2023-09-09,501,ErikBernadotte,8772,7355,"11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x, 10 Common Blue Crab at 1x."
